章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT005,Q0010,第五章,代金取立における受託銀行の取扱について、誤っているものは次のうちどれですか。,代金取立の結果を入金報告や不渡通知をもって委託銀行に通知することは、受託銀行の受任者としての義務である。,受託銀行から取立依頼を受けた証券類を支払場所等に支払呈示するまでの間、善良なる管理者としての注意をもって保管する義務を負う。,集中取立によって取立依頼を受けた手形が不渡りになった場合には、不渡通知を発信して資金を請求する。,集中取立によって取立依頼を受けた手形の組戻依頼を期日前に受けて承諾したときは、期日に行う貸金付替金額はこの組戻承諾分の手形金額を差し引いた金額で行う。,委託銀行から取立依頼を受けた手形が不渡りになった場合には、とくに依頼にないかぎり、権利保全手続きを取る義務を負わない。,4,集中取立によって取立依頼を受けた手形の組戻依頼を期日前に受けて承諾したときは、期日に行う貸金付替金額はこの組戻承諾分の手形金額を差し引いた金額で行う。,代金取立の受託銀行は委託銀行との関係では、委任契約の受任者の立場にあることから、代金取立の結果を入金報告や不渡通知をもって委託銀行に通知する義務を負っている(民法645条)。#そして、取立依頼を受けた証券類を支払場所に支払呈示するまで受任者として善良なる管理者としての注意をもって保管する義務を負う(民法644条)。また内国為替取扱位足による取扱いとして、集中取立による場合には、不渡り手形であるとか、組戻依頼を承諾した手形であるとかなどに関係なく、期日に取立手形の合計金額で資金付替をしたうえで後日不渡分などの資金関係を調整する仕組みがとられている。このため、不渡り手形や組戻承諾手形については、いずれも不渡通知を発信して資金を請求することになる。したがって、組戻承諾分について期日に行う資金付替金額から差し引くことはない。なお、とくに依頼のないかぎり、不渡手形の権利保全手続きを取る義務は負わないことになっている。#以上により、(1)、(2)、(3)、(5)は正しく、(4)は誤りであり、これが本問の正解である。
SECT005,Q0020,第五章,民事再生手続きについて、誤っているものは次のうちどれですか。,再生債権者が再生手続に参加するためには、再生債権を債権届出期間内に裁判所へ届け出る必要がある。,再生手続の開始の時において再生債務者の不動産に抵当権を有している銀行は、別除権者となる。,裁判所は、再生債務者の財産の管理が失当であるときでも、管財人による管理を命ずることはできない。,小規模個人再生手続においては、通常の再生手続よりも債権調査手続が簡略化されている。,住宅資金特別条項を定めた再生計画案は、住宅資金貸付債務を負う個人の再生債務者が提出することができる。,3,裁判所は、再生債務者の財産の管理が失当であるときでも、管財人による管理を命ずることはできない。,再生手続に参加しようとする再生債権者は、債権届出期間内に債権の内容及び原因等を裁判所に届け出なければならない(民事再生法94条1項)。したがって、(1)は正しい。#再生手続開始の時において再生債務者の財産につき存する抵当権を有する者は、その目的である財産について、別除権を有するとされている(民事再生法53条1項)。したがって、(2)は正しい。#裁判所は、再生債務者(法人である場合に限る)の財産の管理または処分が失当であるときは、利害関係人の申立によりまたは職権で、再生手続の開始の決定路同時にまたはその決定後、再生債務者の業務および財産に関し、管財人による管理を命じる処分をすることができる(民事再生法64条1項)。したがって、(3)は誤りであり、これが本問の正解である。#小規模個人再生手続では、債権調査手続きや再生計画案の認可手続などにおいて、通常の再生手続より簡素合理化が図られている(民事再生法221条以下)。したがって、(4)は正しい。#住宅資金特別条項を定めた再生計画案は、再生債務者のみが提出することができる(民事再生法200条1項).したがって、(5)は正しい。
SECT005,Q0030,第五章,仮差押手続について、正しいものは次のうちどれですか。,仮差押に関する手続は、民事執行法に定められている。,仮差押に関する裁判は、口頭弁論を経なくてはならない。,仮差押命令を申し立てるには、被保全債権および保全の必要性を疎明しなければならない。,目的物を特定しないで動産の仮差押えを行うことはできない。,保全執行裁判所は、利害関係人その他参考人を審尋することはできない。,3,仮差押命令を申し立てるには、被保全債権および保全の必要性を疎明しなければならない。,仮差押に関する手続は、民事保全法に定められている。したがって、(1)は誤りである。#仮差押えの手続に関する裁判は、口頭弁論を経ないですることができる(民事保全法3条)。口頭弁論をへるか否かは任意とされているのである。したがって、(2)は誤りである。保全すべき権利および保全の必要性は、疎明しなければならない（民事保全法13条2項）。したがって、(3)は正しく、これが本問の正解である。#動産の仮差押命令は、目的物を特定しないで発することができる(民事保全法21条ただし書)。したがって、(4)は誤りである。#裁判所は、仮差押え等決定で完結すべき事件について、利害関係人その他参考人を審尋することができる(民事保全法46条、民事執行法5条)。したがって、(5)は誤りである。
SECT005,Q0040,第五章,各種整理手続きについて、正しいものは次のうちどれですか。,破産手続は、決算を目的とする制度であり、個人は対象外である。,民事再生手続は、清算を目的とする制度であり、個人は対象外である。,特別清算手続は、再建を目的とする制度であり、個人は対象外である。,会社更生手続は、再建を目的とする制度であり、個人は対象外である。,私的整理手続は、清算を目的とする制度であり、個人は対象外である。,4,会社更生手続は、再建を目的とする制度であり、個人は対象外である。,破産手続は、清算を目的とする手続であるが(破産法1条)、個人もこの手続きを利用することができる(破産法13条、民事訴訟法28条・29条)。したがって、(1)は誤りである。#民事再生手続は、債務者の事業または経済生活の再生を図ることを目的とする法的整理手続で、個人もこの手続きを利用することができる(民事再生法4条)。したがって、(2)は誤りである。#特別清算は、清算株式会社につき、清算遂行に著しい支障をきたすべき事情がある場合または債務超過の疑いがある場合に開始される清算を目的とする法的整理手続である(会社法510条)。したがって、(3)は誤りである。#会社更生手続は、窮境にある株式会社について、更生計画の策定およびその遂行に関する手続を定めること等により、債権者、株主その他の利害関係人の利害を適切に調整し、もって当該株式会社の事業の維持更生を図ることを目的とする法的整理手続である(会社更生法1条)。したがって、(4)は正しく、これが本問の正解である。#私的整理手続は、裁判所に法的整理手続の開始を申し立てないで、債務者が債権者より債務免除・弁済繰延べを得て再生または清算をする債務整理手続である。私的整理手続は、法人だけでなく、個人もそれを利用することができる。したがって、(5)は誤りである。
SECT005,Q0050,第五章,貸金庫取引について、正しいものは次のうちどれですか。,貸金庫契約は、格納物の有償寄託契約と解されている。,借主が使用料を支払わないときでも、銀行は、契約期間中は解約することができない。,格納物について特段の制限は設けられていない。,借主の債権者は、貸金庫の内容物を調査する権限がある。,借主について相続の開始があったときは、銀行は、契約期間中であっても解約することができる。,5,借主について相続の開始があったときは、銀行は、契約期間中であっても解約することができる。,貸金庫契約の法的性質については、銀行は金庫そのものを占有しているが、内容物を管理支配しているのは貸金庫の借主で、内容物がなくても貸金庫契約が成立するので、これを貸金庫という箱の賃貸借であると解するのが通説である。したがって、(1)は誤りである。#貸金庫の借主が使用料を支払わなかったときは、銀行は、いつでも貸金庫契約を解約することができる(貸金庫規定10条2項1号)。したがって、(2)は誤りである。#貸金庫の格納品については、①公社債権、株券その他の有価証券、②預金通帳・証書、契約証書、権利書その他の重要書類、③貴金属、宝石その他の貴重品、④これらに準じると認められるものに限られており、これらの物であっても、銀行は正当な理由があるときは、その格納を拒絶することができるとされている(貸金庫規定1条)。したがって、(3)も誤りである。#貸金庫の内容物については、借主の銀行に対する貸金庫契約上の内容物引渡請求権を差し押さえる方法で強制執行できるとされているが(最判平成11・11・29)、債権者に内容物の調査権があるとまでは解されていない。したがって、(4)は誤りである。#なお、銀行が秘密保持義務に違反して本人に無断で貸金庫を開扉して他人に閲覧させたときは、借主が被った精神的損害に対して慰謝料を支払わなければならないとした裁判例がある(東京地判昭和48・2・12)。#借主について相続の開始があったときは、銀行は、いつでも貸金庫契約を解約することができる(貸金庫規定10条2項2号)。したがって、(5)は正しく、これが本問の正解である。
SECT005,Q0060,第五章,株式払込事務について、正しいものは次のうちどれですか。,株式払込の取扱委託の申込を受けた銀行は、これに応じる義務がある。,小切手による株式の払込において、保管証明書を発行した銀行は、その後に当該小切手が不渡りとなったときは保管証明責任を負わない。,発起設立における株式の払込は、発起人が定めた銀行等の払込取扱金融機関においてしなければならない。,発起設立における払込の証明は、保管証明書によらなければならない、,発起設立における払込の証明は、発起設立における払込の証明は、預金残高証明書により行うことができる。,3,発起設立における株式の払込は、発起人が定めた銀行等の払込取扱金融機関においてしなければならない。,株式払込の取扱委託の法律関係は委任と解されており、その取扱いは銀行等、信託会社等に限られているが(会社法34条2項)、その委託を受けた銀行には、これに応じる義務はないと解されている。したがって、(1)は誤りである。#株式払込金の保管証明書を発行した銀行は、払込金の返還に関する制限があることをもって、成立後の株式会社に対抗することができない(会社法64条2項)。小切手による株式の払込を受け付け、それを含めて保管証明書を発行した場合には、銀行は、その後に当該小切手が不渡りになったとしても、成立後の会社に対して、証明金額の全額を払い戻さなければならないのである。したがって、(2)は誤りである。#発起設立の場合、発起人は、設立時に発行する株式を引き受けた後、遅滞なく、出資金の全額を払い込まなければならない。子の払込は、発起人が定めた銀行等、信託会社等の払込の取扱の場所においてしなければならない(会社法34条2項)。したがって、(3)は正しく、これが本問の正解である。#発起設立における払込の証明については、平成18年5月施行の会社法は、発起人の負担軽減を図り、迅速な会社設立に資するため、払込の事実を証明するために必要な書面として、保管証明書は必要でないとしている(同法64条1項参照)。したがって、(4)は誤りである。#これに対して、募集設立における払込の証明については、平成18年5月施行の会社法は、従前通り、払込の事実を証明するために必要な書面として、保管証明書が必要であるとしている(同法64条1項、商業登記法47条2項5号参照)。したがって、(5)は誤りである。
SECT005,Q0070,第五章,定期積金について、正しいものは次のうちどれですか。,定期積金の法定性質は、金銭の消費寄託契約と解されている。,掛金の払込が遅滞したときは、満期日を繰り延べることができる。,定期積金は、銀行の承諾を得なくても譲渡・質入することができる。,定期積金の掛金の払込は、積金者の義務である。,定期積金の給付補てん金は雑所得であるため、銀行に税金の源泉徴収義務は課されていない。,2,掛金の払込が遅滞したときは、満期日を繰り延べることができる。,定期積金の法的性質については、預金が民法の典型契約のうち消費者寄託契約であると解されているのに対し、民法のいずれの典型契約に該当しない無名契約であると解されている。したがって、(1)は誤りである。#定期積金の払込が遅滞したときは、銀行は、満期日を遅延期間に相当する期間、繰り延べることができるし、一定の利率で算出される遅延利息の支払を求めることもできる(定期積金規定4条)。したがって、(2)は正しく、これが本問の正解である。#定期積金は、銀行の承諾がない以上、これを譲渡または質入することができない(定期積金規定11条)。したがって、(3)は誤りである。#定期積金の掛金の払込は、満期日に一定金額の給付を受ける権利を取得するための条件であって、定期積金者は掛金を払い込む義務を負わないと解されている。したがって、(4)は誤りである。#定期積金の給付補てん金は経済的には預金利息に相当するものであるので、銀行に対して税金の源泉徴収義務が課されている。したがって、(5)は誤りである。
SECT005,Q0080,第五章,条件および期限について、誤っているものは次のうちどれですか。,停止条件付法律行為は、その条件が成就した時からその効力を生じる。,解除条件付法律行為は、その条件が成就した時からその効力を失う。,不法な行為をすることおよびしないことを条件とした法律行為は有効である。,期限は、債務者の利益のために定めたものと推定される。,期限の利益は、放棄することができる。,3,不法な行為をすることおよびしないことを条件とした法律行為は有効である。,停止条件付法律行為は、停止条件が成就した時からその効力を生じるとされている(民法127条1項)。したがって、(1)は正しい。#解除条件付法律行為は、解除条件が成就した時からその効力を失うとされている(民法127条2項)、したがって、(2)は正しい。#不法な条件を付した法律行為は、無効とするとされ、不法な行為をしないことを条件とするのも同様とするとされている(民法132条)。したがって、(3)は誤りであり、これが本問の正解である。#期限は、債務者の利益のために定めたものと推定するとされている(民法136条1項)。したがって、(4)は正しい。#期限の利益は、放棄することができるとされている(民法136条2項)。したがって、(5)は正しい。
SECT005,Q0090,第五章,取締役会を設置した株式会社において、取締役会専決事項に該当しないものは次のうちどれですか。,監査役の選任,代表取締役の選定,多額の借財,取締役の競業取引の承認,取締役の利益相反取引の承認,1,監査役の選任,取締役会設置会社においては、(2)「代表取締役の選定」、(3)「多額の借財」、(4)「取締役の競業取引の承認」、(5)「取締役の利益相反取引の承認」は、いずれも取締役会の専決事項である(会社法362条3項・4項2号・365条1項・356条1項)。これに対して、(1)「監査役の選任」は、株主総会の専決事項である(会社法329条1項)。#したがって、本問の選択肢のうち、取締役会の決定事項でないものは、(1)「監査役の選任」であり、これが本問の正解である。
SECT005,Q0100,第五章,個人情報の保護に関する法律(個人情報保護法)上の個人情報取扱事業者の義務について、正しいものは次のうちどれですか。,個人情報取扱事業者は、本人に通知すれば、特定された利用目的の達成に必要な範囲を超えて、個人情報を取り扱うことができる。,個人情報取扱事業者は、個人情報を取得した場合は、必ず利用目的について本人の同意を得る必要がある。,個人情報取扱事業者は、本人との間で契約を締結することに伴って契約書に記載された当該本人の個人情報を取得する場合、原則として、あらかじめ、本人に対し、その利用目的を明示しなければならない。,個人情報取扱事業者は、原則として、法定の事項を公表することにより、個人データを第三者に提供することができる。,個人情報取扱事業者は、法令にもとづく場合であっても、あらかじめ本人の同意を得ないで、個人データを第三者に提供してはならない。,3,個人情報取扱事業者は、本人との間で契約を締結することに伴って契約書に記載された当該本人の個人情報を取得する場合、原則として、あらかじめ、本人に対し、その利用目的を明示しなければならない。,個人情報取扱事業者が、特定された利用目的の達成に必要な範囲を超えて、個人情報を取り扱うためには、あらかじめ本人の同意を得ることを要する(個人情報保護法16条1項)。したがって、(1)は誤りである。#個人情報取扱事業者が個人情報を取得した場合には、あらかじめその利用目的を公表している場合を除いて、個人情報取扱事業者は、速やかに、その利用目的を、本人に通知し、または公表しなければならない(個人情報保護法18条1項)。個人情報を取得した個人情報取扱事業者に要請されているのは、本人に対する利用目的の通知または公表である。したがって、(2)は誤りである。#もっとも、個人情報取扱事業者は、本人との間で契約締結することに伴って契約書に記載された当該本人の個人情報を取得する場合は、あらかじめ、本人に対し、利用目的を明示しなければならない(個人情報保護法18条2項)。したがって、(3)は正しく、これが本問の正解である。#個人情報取扱事業者は、原則として、あらかじめ、本人の同意を得ないで、個人データを第三者に提供してはならないとされている(個人情報保護法23条1項1号)。したがって、(4)は誤りである。#この例外として、法令にもとづく場合等が規定されている(個人情報保護法23条1項1号)。法令にもとづく場合等においては、個人情報取扱事業者は、あらかじめ本人の同意を得ることなしに、個人情報を第三者に提供することができるのである。したがって、(5)は誤りである。
SECT005,Q0110,第五章,私的独占の禁止及び公正取引の確保に関する法律(独占禁止法)について、誤っているものは次のうちどれですか。,事業者は、私的独占または不当な取引制限をしてはならない。,事業者団体は、一定の取引分野における競争を実質的に制限してはならない。,銀行は、原則として、他の国内の会社の議決権をその総株主の議決権の5％を超えて保有してはならない。,特定の事業者に対して不利な取り扱いをすることは、合理的な理由があっても、不公正な取引方法の一種である「取引条件等の差別的取扱い」として禁じれらている。,優越的地位を利用して不当に相手方に不利益となるように取引条件を設定することは、不公正な取引方法の一種である「優越的地位の濫用」として禁じられている。,4,特定の事業者に対して不利な取り扱いをすることは、合理的な理由があっても、不公正な取引方法の一種である「取引条件等の差別的取扱い」として禁じれらている。,事業者は、私的独占または不当な取引制限をしてはならない(独占禁止法3条)。したがって、(1)は正しい。なお、ここでいう「事業者」、「私的独占」、「不当な取引制限」については、独占禁止法は、厳密な定義規定を置いている(同法2条1項・5項・6項)。#事業者団体は、一定の取引分野における競争を実質的に制限することをしてはならないとされている(独占禁止法8条1項1号)。したがって、(2)は正しい。#銀行は、原則として、他の国内の会社の議決権を総株主の議決権の100分の5を超えて有することとなる場合には、その議決権を取得し、または保有してはならない(独占禁止法11条)。したがって、(3)は正しい。#独占禁止法2条9項は、「不正な取引方法」とは、次の各号のいずれかに該当する行為であって、公正な競争を阻害するおそれがあるもののうち、公正取引委員会が指定するものをいうと定義している。そして、その第1号として、不当に他の事業者を差別的に取り扱うことをあげている。ここで注意すべきは、「不当に」他の事業者を差別的に取り扱うことが、不公正な取引方法の要件とされていることである。合理的な理由があれば、他の事業者を差別的に取り扱ったとしても、不公正な取引方法には該当しないのである。したがって、(4)は誤りであり、これが本問の正解である。#独占条9項にもとづき、公正取引委員会は、どのような行為が不公正な取引に該当するかを指定しているが、「優越的地位の濫用禁止」も指定されている(不公正な取引方法の一般指定14項)。したがって、(5)は正しい。
SECT005,Q0120,第五章,銀行による普通預金口座の強制解約について、誤っているものは次のうちどれですか。,預金口座の名義人が存在しないことが明らかになった場合には、銀行は預金口座を解約することができる。,銀行が預金口座を解約する場合は、解約の通知が預金者に到達したときに解約の効力が生じる。,預金口座が名義人の意思によらず開設されたことが明らかになった場合には、銀行は預金口座を解約することができる。,解約した預金口座の残高を払い戻す場合には、銀行は相当の期間をおき、必要な書類等の提出または保証人を求めることができる。,預金が法令や公序良俗に反する行為に利用されていると認められる場合には、銀行は預金口座を解約することができる。,2,銀行が預金口座を解約する場合は、解約の通知が預金者に到達したときに解約の効力が生じる。,銀行は、①預金者の名義人が存在しないことが明らかになった場合、または預金口座の名義人の意思によらずに開設されたことが明らかになった場合、②預金者が預金および通帳等を無断で譲渡・質入した場合、③預金が法令や公序良俗に反する行為に利用され、またはそのおそれがあると認められる場合などには、預金者に通知することにより、普通預金口座を解約することができる(普通預金規定10条2項)。したがって、(1)、(3)、(5)は正しい。#銀行が預金口座を強制解約する場合には、到達のいかんにかかわらず、銀行が解約の通知を届出のあった氏名、住所にあてて発信した時に解約の効力が生じる(普通預金規定10条2項)。したがって、(2)は誤りであり、これが本問の正解である。#強制解約された預金口座の残高を払い戻す場合には、預金者に申し出てもらったうえ、相当の期間をおき、必要な書類等の提出または保証人を求めることができることとしている(普通預金規定10条4項)。したがって、(4)は正しい。
SECT005,Q0130,第五章,Aの普通預金口座に入金すべきところ、誤ってBの普通預金口座に入金記帳してしまった場合について、正しいものは次のうちどれですか。,誤入金を取り消すためには、Bから払戻請求書の提出を受ける必要がある。,Bの普通預金通帳に誤入金が記帳されると、Bとの間で誤入金した金額で預金契約が成立する。,Bが誤入金分を払い戻してしまった場合には、銀行はBに対し不当利益の返還請求をすることはできない。,Bの普通預金口座へ誤入金した場合でも、Aとの間の預金契約は有効に成立している。,Aの預金通帳に入金記帳されるまでは、Aは事故の預金の払戻しを請求することができない。,4,Bの普通預金口座へ誤入金した場合でも、Aとの間の預金契約は有効に成立している。,Aが預金者であることを知って現金を受け入れたが、誤ってBの預金口座に入金記帳してしまったような場合には、銀行が現金を受け入れ、確認した時点でAとの間で預金契約が成立しているので、Aは誤入金分が自己の預金通帳に入金記載されていなくても、その払戻しを請求することができる。預金通帳に入金記帳されているかどうかは、預金契約の成立に影響を及ぼさない。#一方、B破綻に銀行の過誤によって自己の預金口座に入金記帳されただけで、Bとの間で預金契約は成立していないので、誤入金分が払い戻されていない場合には、銀行はBの承諾を得ずに一方的に入金記帳を取り消すことができる。実務上は無用なトラブルを避けるため、B字事情を説明し、その了解を得たうえで通帳の提出を受けて訂正処理を行うべきであるが、いずれにしても訂正に際してはBの払戻請求書の提出を要しない。なお、Bが誤入金分を払い戻してしまった場合には、銀行はBに対し、不当利益として、その返還を請求することができる(民法703条・704条)。#したがって、(1)、(2)、(3)、(5)は誤りであり、(4)は正しく、これが本問の正解である。
